Address;LOT_OPERATOR;Geom;Geo Local Area;geo_point_2d
6260 Killarney St;City of Vancouver;"{""coordinates"": [-123.0448471, 49.22695487], ""type"": ""Point""}";Killarney;49.22695487, -123.0448471
860 Richards St;City of Vancouver;"{""coordinates"": [-123.1189488, 49.27935408], ""type"": ""Point""}";Downtown;49.27935408, -123.1189488
2221 Main St;Easypark;"{""coordinates"": [-123.1012162, 49.2651549], ""type"": ""Point""}";Mount Pleasant;49.2651549, -123.1012162
3900 Pt Grey Rd;Easypark;"{""coordinates"": [-123.1912032, 49.27099147], ""type"": ""Point""}";West Point Grey;49.27099147, -123.1912032
Yew and W 51st Street;City of Vancouver;"{""coordinates"": [-123.1591984, 49.22243553], ""type"": ""Point""}";Kerrisdale;49.22243553, -123.1591984
Pine St & W 14th Ave;City of Vancouver;"{""coordinates"": [-123.1435587, 49.25755419], ""type"": ""Point""}";Fairview;49.25755419, -123.1435587
6100 Maple St;City of Vancouver;"{""coordinates"": [-123.1521057, 49.23064495], ""type"": ""Point""}";Kerrisdale;49.23064495, -123.1521057
5275 McKinnon St;City of Vancouver;"{""coordinates"": [-123.0359184, 49.23730153], ""type"": ""Point""}";Renfrew-Collingwood;49.23730153, -123.0359184
3600 W 12th Ave;City of Vancouver;"{""coordinates"": [-123.183982, 49.261488], ""type"": ""Point""}";Kitsilano;49.261488, -123.183982
860 Richards St;City of Vancouver;"{""coordinates"": [-123.1190036, 49.27932239], ""type"": ""Point""}";Downtown;49.27932239, -123.1190036
Yew and 51st Street;City of Vancouver;"{""coordinates"": [-123.159084, 49.224867], ""type"": ""Point""}";Kerrisdale;49.224867, -123.159084
4950 Magnolia St;City of Vancouver;"{""coordinates"": [-123.1501499, 49.24493038], ""type"": ""Point""}";Arbutus Ridge;49.24493038, -123.1501499
1305 Arbutus St;City of Vancouver;"{""coordinates"": [-123.1526562, 49.27391195], ""type"": ""Point""}";Kitsilano;49.27391195, -123.1526562
E 47th Ave and Nanaimo St;City of Vancouver;"{""coordinates"": [-123.0590162, 49.22763592], ""type"": ""Point""}";Victoria-Fraserview;49.22763592, -123.0590162
2221 Main St;Easypark;"{""coordinates"": [-123.1012092, 49.26515884], ""type"": ""Point""}";Mount Pleasant;49.26515884, -123.1012092
